symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
TFCFA.NAS,Twenty-First Century Fox (USD) A CFD,Stock CFD's\Nasdaq\TFCFA.NAS,0,2,0,1.0,USD,USD,USD,False
TLRY.NAS,Tilray Inc CFD,Stock CFD's\Nasdaq\TLRY.NAS,4,2,0,1.0,USD,USD,USD,False
TMUS.NAS,T-Mobile US CFD,Stock CFD's\Nasdaq\TMUS.NAS,4,2,0,1.0,USD,USD,USD,False
TSLA.NAS,Tesla Motors CFD,Stock CFD's\Nasdaq\TSLA.NAS,4,2,0,1.0,USD,USD,USD,False
TXN.NAS,Texas Instruments CFD,Stock CFD's\Nasdaq\TXN.NAS,4,2,0,1.0,USD,USD,USD,False
VRTX.NAS,Vertex Pharma CFD,Stock CFD's\Nasdaq\VRTX.NAS,4,2,0,1.0,USD,USD,USD,False
QQQ.NAS,Invesco QQQ Trust ETF CFD,Stock CFD's\Nasdaq\ETF\QQQ.NAS,4,2,0,1.0,USD,USD,USD,False
TLT.NAS,iShares 20+ Year Treasury Bond ETF CFD,Stock CFD's\Nasdaq\ETF\TLT.NAS,4,2,0,1.0,USD,USD,USD,False
LYFT.NAS,"Lyft, Inc. CFD",Stock CFD's\Nasdaq\LYFT.NAS,3,2,0,1.0,USD,USD,USD,False
AMD.NAS,Advanced Micro Devices Inc CFD,Stock CFD's\Nasdaq\AMD.NAS,4,3,0,1.0,USD,USD,USD,False
AKAM.NAS,Akamai Technologies Inc,Stock CFD's\Nasdaq\AKAM.NAS,3,3,0,1.0,USD,USD,USD,False
ALGN.NAS,Align Technology CFD,Stock CFD's\Nasdaq\ALGN.NAS,4,3,0,1.0,USD,USD,USD,False
LNT.NAS,Alliant Energy Corp CFD,Stock CFD's\Nasdaq\LNT.NAS,3,3,0,1.0,USD,USD,USD,False
AAL.NAS,American Airlines Group CFD,Stock CFD's\Nasdaq\AAL.NAS,4,3,0,1.0,USD,USD,USD,False
AEP.NAS,American Electric Power,Stock CFD's\Nasdaq\AEP.NAS,4,3,0,1.0,USD,USD,USD,False
APA.NAS,Apache Corporation CFD,Stock CFD's\Nasdaq\APA.NAS,3,3,0,1.0,USD,USD,USD,False
ADSK.NAS,Autodesk Inc. CFD,Stock CFD's\Nasdaq\ADSK.NAS,4,3,0,1.0,USD,USD,USD,False
CHRW.NAS,C. H. Robinson Worldwide CFD,Stock CFD's\Nasdaq\CHRW.NAS,4,3,0,1.0,USD,USD,USD,False
CDNS.NAS,Cadence Design Systems CFD,Stock CFD's\Nasdaq\CDNS.NAS,4,3,0,1.0,USD,USD,USD,False
CDW.NAS,CDW CFD,Stock CFD's\Nasdaq\CDW.NAS,4,3,0,1.0,USD,USD,USD,False
CINF.NAS,Cincinnati Financial,Stock CFD's\Nasdaq\CINF.NAS,4,3,0,1.0,USD,USD,USD,False
CTAS.NAS,Cintas Corporation CFD,Stock CFD's\Nasdaq\CTAS.NAS,4,3,0,1.0,USD,USD,USD,False
CPRT.NAS,Copart Inc CFD,Stock CFD's\Nasdaq\CPRT.NAS,4,2,0,1.0,USD,USD,USD,False
XRAY.NAS,Dentsply Sirona,Stock CFD's\Nasdaq\XRAY.NAS,3,3,0,1.0,USD,USD,USD,False
DXCM.NAS,DexCom,Stock CFD's\Nasdaq\DXCM.NAS,4,2,0,1.0,USD,USD,USD,False
FANG.NAS,Diamondback Energy,Stock CFD's\Nasdaq\FANG.NAS,4,3,0,1.0,USD,USD,USD,False
DLTR.NAS,Dollar Tree,Stock CFD's\Nasdaq\DLTR.NAS,4,3,0,1.0,USD,USD,USD,False
ENPH.NAS,Enphase Energy,Stock CFD's\Nasdaq\ENPH.NAS,4,3,0,1.0,USD,USD,USD,False
EXC.NAS,Exelon Corp.,Stock CFD's\Nasdaq\EXC.NAS,4,3,0,1.0,USD,USD,USD,False
EXPE.NAS,Expedia Group,Stock CFD's\Nasdaq\EXPE.NAS,3,3,0,1.0,USD,USD,USD,False
FFIV.NAS,F5 Networks,Stock CFD's\Nasdaq\FFIV.NAS,4,3,0,1.0,USD,USD,USD,False
FAST.NAS,Fastenal Co,Stock CFD's\Nasdaq\FAST.NAS,3,3,0,1.0,USD,USD,USD,False
FITB.NAS,Fifth Third Bancorp,Stock CFD's\Nasdaq\FITB.NAS,4,3,0,1.0,USD,USD,USD,False
FISV.NAS,Fiserv Inc,Stock CFD's\Nasdaq\FISV.NAS,3,3,0,1.0,USD,USD,USD,False
FTNT.NAS,Fortinet,Stock CFD's\Nasdaq\FTNT.NAS,3,2,0,1.0,USD,USD,USD,False
GPC.NAS,Genuine Parts,Stock CFD's\Nasdaq\GPC.NAS,4,3,0,1.0,USD,USD,USD,False
HAS.NAS,Hasbro Inc.,Stock CFD's\Nasdaq\HAS.NAS,4,3,0,1.0,USD,USD,USD,False
HSIC.NAS,Henry Schein,Stock CFD's\Nasdaq\HSIC.NAS,4,3,0,1.0,USD,USD,USD,False
HOLX.NAS,Hologic,Stock CFD's\Nasdaq\HOLX.NAS,4,3,0,1.0,USD,USD,USD,False
HST.NAS,Host Hotels & Resorts,Stock CFD's\Nasdaq\HST.NAS,3,3,0,1.0,USD,USD,USD,False
HBAN.NAS,Huntington Bancshares,Stock CFD's\Nasdaq\HBAN.NAS,4,3,0,1.0,USD,USD,USD,False
IDXX.NAS,IDEXX Laboratories,Stock CFD's\Nasdaq\IDXX.NAS,4,2,0,1.0,USD,USD,USD,False
ILMN.NAS,Illumina Inc,Stock CFD's\Nasdaq\ILMN.NAS,4,3,0,1.0,USD,USD,USD,False
INCY.NAS,Incyte,Stock CFD's\Nasdaq\INCY.NAS,4,2,0,1.0,USD,USD,USD,False
IPGP.NAS,IPG Photonics Corp.,Stock CFD's\Nasdaq\IPGP.NAS,4,2,0,1.0,USD,USD,USD,False
JBHT.NAS,J. B. Hunt Transport Services,Stock CFD's\Nasdaq\JBHT.NAS,4,3,0,1.0,USD,USD,USD,False
