ticket,order,symbol,type,volume,price,profit,swap,commission,time
1065939771,1304637738,GBPUSD,1,0.01,1.30594,-0.33,0.0,0.0,2025-11-06 11:37:25
1065939129,1304636973,EURUSD,1,0.01,1.15044,-0.35,0.0,0.0,2025-11-06 11:36:55
1065938200,1304635778,EURJPY,0,0.01,177.108,0.0,0.0,0.0,2025-11-06 11:35:48
1065938163,1304635719,EURUSD,1,0.01,1.1505,-0.37,0.0,0.0,2025-11-06 11:35:44
1065938143,1304635693,GBPNZD,1,0.01,2.30496,0.0,0.0,0.0,2025-11-06 11:35:42
1065937962,1304635476,EURAUD,1,0.01,1.76653,-0.83,0.0,0.0,2025-11-06 11:35:31
1065923697,1304618540,EURAUD,0,0.01,1.76781,0.0,0.0,0.0,2025-11-06 11:20:12
1065921621,1304616039,EURNZD,1,0.01,2.03049,-0.79,0.0,0.0,2025-11-06 11:17:03
1065918212,1304611661,GBPCAD,0,0.01,1.84156,0.0,0.0,0.0,2025-11-06 11:12:13
1065917759,1304611132,GBPCHF,1,0.01,1.05649,-0.48,0.0,0.0,2025-11-06 11:11:56
1065916756,1304609893,GBPNZD,0,0.01,2.30583,0.0,0.0,0.0,2025-11-06 11:10:43
1065916708,1304609809,GBPJPY,1,0.01,200.9,-0.81,0.0,0.0,2025-11-06 11:10:33
1065910765,1304602496,EURCHF,0,0.01,0.931,0.0,0.0,0.0,2025-11-06 11:03:39
1065910731,1304602464,EURUSD,0,0.01,1.15087,0.0,0.0,0.0,2025-11-06 11:03:38
1065909829,1304601478,EURJPY,1,0.01,176.992,-0.65,0.0,0.0,2025-11-06 11:03:15
1065909199,1304600846,GBPJPY,1,0.01,200.924,-0.86,0.0,0.0,2025-11-06 11:03:10
1065905354,1304596604,EURNZD,0,0.01,2.03188,0.0,0.0,0.0,2025-11-06 11:01:06
1065904705,1304595819,GBPCHF,0,0.01,1.05688,0.0,0.0,0.0,2025-11-06 11:00:37
1065904218,1304595174,EURCAD,1,0.01,1.62261,-0.43,0.0,0.0,2025-11-06 11:00:11
1065904187,1304595125,EURCAD,1,0.01,1.62263,-0.42,0.0,0.0,2025-11-06 11:00:10
1065899910,1304588877,EURUSD,0,0.01,1.15079,0.0,0.0,0.0,2025-11-06 10:55:53
1065899806,1304588769,AUDUSD,1,0.01,0.65087,0.62,0.0,0.0,2025-11-06 10:55:49
1065884415,1304571173,GBPUSD,0,0.01,1.30627,0.0,0.0,0.0,2025-11-06 10:41:09
1065883957,1304570595,NZDCAD,1,0.01,0.79812,-0.34,0.0,0.0,2025-11-06 10:40:35
1065881093,1304567188,GBPJPY,0,0.01,201.056,0.0,0.0,0.0,2025-11-06 10:37:38
1065880844,1304566880,GBPCAD,1,0.01,1.842,-0.4,0.0,0.0,2025-11-06 10:37:22
1065879199,1304564997,EURCHF,0,0.01,0.93095,0.0,0.0,0.0,2025-11-06 10:36:01
1065876284,1304561657,EURJPY,0,0.01,177.092,0.0,0.0,0.0,2025-11-06 10:33:32
1065875451,1304560633,NZDCAD,0,0.01,0.7986,0.0,0.0,0.0,2025-11-06 10:32:36
1065875440,1304560602,GBPJPY,0,0.01,201.025,0.0,0.0,0.0,2025-11-06 10:32:33
1065874999,1304560016,AUDUSD,0,0.01,0.65025,0.0,0.0,0.0,2025-11-06 10:32:01
1065870815,1304554855,EURCAD,0,0.01,1.62321,0.0,0.0,0.0,2025-11-06 10:29:32
